"slice","fp","pn","pp","cn","cp","Ck","pw"
110,247369.17942,179.0,243461,209,247954,110.093016602,1358
111,249956.090142,180.0,244819,549,249312,111.244335476,1358
112,252571.000864,182.0,247535,917,252028,112.408115904,1358
113,255187.911586,184.0,250251,1287,254744,113.572786443,1358
114,256436.822308,185.0,251609,289,256102,114.128621043,1358
115,259043.73303,187.0,254325,649,258818,115.288841027,1358
116,261628.643752,189.0,257041,987,261534,116.43926979,1358
117,262907.554474,190.0,258399,19,262892,117.008456055,1358
118,265504.465196,192.0,261115,369,265608,118.164225484,1358
119,268109.375918,194.0,263831,727,268324,119.323555357,1358
120,270706.28664,196.0,266547,1077,271040,120.479324786,1358
121,271955.197362,197.0,267905,79,272398,121.035159385,1358
122,274572.108084,199.0,270621,449,275114,122.199829925,1358
123,277157.018806,201.0,273337,787,277830,123.350258687,1358
124,279773.929528,202.0,274695,1157,279188,124.514929226,1358
125,281022.84025,203.0,276053,159,280546,125.070763826,1358
126,283619.750972,205.0,278769,509,283262,126.226533255,1358
127,286224.661694,207.0,281485,867,285978,127.385863128,1358
128,288821.572416,209.0,284201,1217,288694,128.541632557,1358
129,290080.483138,210.0,285559,229,290052,129.101917712,1358
130,292657.39386,212.0,288275,559,292768,130.248786031,1358
131,295272.304582,214.0,290991,927,295484,131.412566459,1358
132,297879.215304,216.0,293707,1287,298200,132.572786443,1358
133,299128.126026,217.0,295065,289,299558,133.128621043,1358
134,301735.036748,219.0,297781,649,302274,134.288841027,1358
135,304309.94747,220.0,299139,977,303632,135.434819234,1358
136,305645.858192,221.0,300497,66.0,304990,136.029373664,1358
137,308155.768914,223.0,303213,329,307706,137.146423263,1358
138,310752.679636,225.0,305929,679,310422,138.302192692,1358
139,313347.590358,227.0,308645,1027,313138,139.45707201,1358
140,314596.50108,228.0,310003,29,314496,140.01290661,1358
141,317203.411802,230.0,312719,389,317212,141.173126594,1358
142,319788.322524,232.0,315435,727,319928,142.323555357,1358
143,322395.233246,234.0,318151,1087,322644,143.483775341,1358
144,323634.143968,235.0,319509,79,324002,144.035159385,1358
145,326241.05469,237.0,322225,439,326718,145.195379369,1358
146,328855.965412,239.0,324941,807,329434,146.359159798,1358
147,331452.876134,240.0,326299,1157,330792,147.514929226,1358
148,332731.786856,241.0,327657,189,332150,148.084115492,1358
149,335318.697578,243.0,330373,529,334866,149.235434365,1358
150,337933.6083,245.0,333089,897,337582,150.399214794,1358
151,340560.519022,247.0,335805,1277,340298,151.568335888,1358
152,341799.429744,248.0,337163,269,341656,152.119719933,1358
153,344406.340466,250.0,339879,629,344372,153.279939917,1358
154,346981.251188,252.0,342595,957,347088,154.425918124,1358
155,348337.16191,253.0,343953,66.0,348446,155.029373664,1358
156,350837.072632,255.0,346669,319,351162,156.141972708,1358
157,353471.983354,257.0,349385,707,353878,157.314654246,1358
158,356058.894076,259.0,352101,1047,356594,158.46597312,1358
159,357307.804798,260.0,353459,49,357952,159.02180772,1358
160,359934.71552,261.0,354817,429,359310,160.190928814,1358
161,362539.626242,263.0,357533,787,362026,161.350258687,1358
162,365156.536964,265.0,360249,1157,364742,162.514929226,1358
163,366415.447686,266.0,361607,169,366100,163.075214381,1358
164,369012.358408,268.0,364323,519,368816,164.23098381,1358
165,371627.26913,270.0,367039,887,371532,165.394764238,1358
166,374234.179852,272.0,369755,1247,374248,166.554984222,1358
167,375503.090574,273.0,371113,269,375606,167.119719933,1358
168,378090.001296,275.0,373829,609,378322,168.271038806,1358
169,380694.912018,277.0,376545,967,381038,169.430368679,1358
170,382038.82274,278.0,377903,64.0,382396,170.028483553,1358
171,384550.733462,280.0,380619,329,385112,171.146423263,1358
172,387147.644184,281.0,381977,679,386470,172.302192692,1358
173,389732.554906,283.0,384693,1017,389186,173.452621455,1358
174,391001.465628,284.0,386051,39,390544,174.017357165,1358
175,393588.37635,286.0,388767,379,393260,175.168676039,1358
176,396193.287072,288.0,391483,737,395976,176.328005912,1358
177,398780.197794,290.0,394199,1077,398692,177.479324786,1358
178,400029.108516,291.0,395557,79,400050,178.035159385,1358
179,402636.019238,293.0,398273,439,402766,179.195379369,1358
180,405210.92996,295.0,400989,767,405482,180.341357577,1358
181,407817.840682,297.0,403705,1127,408198,181.501577561,1358
182,409066.751404,298.0,405063,129,409556,182.057412161,1358
