"","x"
"1",0.0178483466939881
"2",0.0484569277884794
"3",0.0786348643466758
"4",0.10838084368174
"5",0.137693553106835
"6",0.166571679935124
"7",0.19501391147977
"8",0.223018935053935
"9",0.250585437970782
"10",0.277712107543474
"11",0.304397631085173
"12",0.330640695909044
"13",0.356439989328248
"14",0.381794198655949
"15",0.406702011205309
"16",0.431162114289492
"17",0.455173195221659
"18",0.478733941314974
"19",0.501843039882599
"20",0.524499178237699
"21",0.546701043693434
"22",0.568447323562969
"23",0.589736705159466
"24",0.610567875796088
"25",0.630939522785998
"26",0.650850333442358
"27",0.670298995078331
"28",0.689284195007081
"29",0.707804620541771
"30",0.725858958995562
"31",0.743445897681618
"32",0.760564123913102
"33",0.777212325003176
"34",0.793389188265003
"35",0.809093401011747
"36",0.824323650556571
"37",0.839078624212635
"38",0.853357009293105
"39",0.867157493111142
"40",0.88047876297991
"41",0.893319506212572
"42",0.905678410122289
"43",0.917554162022225
"44",0.928920895960851
"45",0.939761468740022
"46",0.950087651802976
"47",0.959911216592952
"48",0.96924393455319
"49",0.978097577126927
"50",0.986483915757403
"51",0.994414721887856
"52",1.00190176696153
"53",1.00895682242165
"54",1.01559165971147
"55",1.02181805027422
"56",1.02764776555315
"57",1.03309257699148
"58",1.03816425603246
"59",1.04287457411934
"60",1.04723530269534
"61",1.0512582132037
"62",1.05495507708767
"63",1.05833766579049
"64",1.06141775075538
"65",1.0638562514711
"66",1.0653484908775
"67",1.06595784559451
"68",1.06574769224204
"69",1.06478140744001
"70",1.06312236780835
"71",1.06083394996696
"72",1.05797953053578
"73",1.05462248613472
"74",1.05082619338369
"75",1.04665402890263
"76",1.04216936931144
"77",1.03743559123006
"78",1.03251607127839
"79",1.02747418607635
"80",1.02237331224388
"81",1.01727682640088
"82",1.01224810516728
"83",1.00735052516299
"84",1.00264746300794
"85",0.998202295322036
"86",0.993719771847927
"87",0.98888262029907
"88",0.983721184251623
"89",0.978265807281742
"90",0.972546832965585
"91",0.966594604879309
"92",0.960439466599072
"93",0.95411176170103
"94",0.94764183376134
"95",0.941060026356161
"96",0.934396683061648
"97",0.92768214745396
"98",0.920946763109253
"99",0.914220873603685
"100",0.907534822513412
"101",0.900918953414592
"102",0.894403609883383
"103",0.888019135495941
"104",0.881795873828424
"105",0.875764168456988
"106",0.869954362957792
"107",0.864154275934066
"108",0.858144191125207
"109",0.85194314981162
"110",0.84557019327371
"111",0.839044362791882
"112",0.83238469964654
"113",0.82561024511809
"114",0.818740040486936
"115",0.811793127033483
"116",0.804788546038136
"117",0.7977453387813
"118",0.790682546543381
"119",0.783619210604781
"120",0.776574372245907
"121",0.769567072747163
"122",0.762616353388954
"123",0.755741255451686
"124",0.748960820215762
"125",0.742294088961588
"126",0.735760102969569
"127",0.729377903520109
"128",0.723113474739292
"129",0.716917059340368
"130",0.710784086484493
"131",0.704709985332824
"132",0.698690185046515
"133",0.692720114786724
"134",0.686795203714605
"135",0.680910880991315
"136",0.67506257577801
"137",0.669245717235846
"138",0.663455734525978
"139",0.657688056809562
"140",0.651938113247755
"141",0.646201333001713
"142",0.64047314523259
"143",0.634748979101544
"144",0.62902426376973
"145",0.623294428398304
"146",0.617554902148422
"147",0.61180111418124
"148",0.606058849237714
"149",0.600354691461206
"150",0.594685269116474
"151",0.589047210468279
"152",0.583437143781382
"153",0.577851697320544
"154",0.572287499350523
"155",0.566741178136081
"156",0.561209361941979
"157",0.555688679032975
"158",0.550175757673832
"159",0.544667226129308
"160",0.539159712664165
"161",0.533649845543163
"162",0.528133071051735
"163",0.522607229879359
"164",0.517072541896865
"165",0.511529226975084
"166",0.505977504984844
"167",0.500417595796976
"168",0.49484971928231
"169",0.489274095311675
"170",0.4836909437559
"171",0.478100484485817
"172",0.472502937372254
"173",0.466898522286041
"174",0.461287459098008
"175",0.455669967678985
"176",0.450046267899802
"177",0.444416579631288
"178",0.438781122744273
"179",0.433140117109587
"180",0.427493782598059
"181",0.42184233908052
"182",0.416186006427799
"183",0.410525004510727
"184",0.404859553200131
"185",0.399189872366844
"186",0.393516181881693
"187",0.38783870161551
"188",0.382157651439123
"189",0.376473251223363
"190",0.370785720839059
"191",0.365095280157042
"192",0.35940214904814
"193",0.353706547383184
"194",0.348008695033003
"195",0.342308811868427
"196",0.336607117760287
"197",0.330903832579411
"198",0.325199176196629
"199",0.319493368482772
"200",0.313786629308669
"201",0.308079178545149
"202",0.302371236063043
"203",0.296663021733181
"204",0.290954755426391
"205",0.285246657013505
"206",0.279538946365351
"207",0.273831843352759
"208",0.268125567846559
"209",0.262420339717582
"210",0.256716378836656
"211",0.251013905074611
"212",0.245313138302278
"213",0.239614298390486
"214",0.233917605210064
"215",0.228223278631843
"216",0.222531538526652
"217",0.216842604765322
"218",0.211156697218681
"219",0.20547403575756
"220",0.199794840252788
"221",0.194119330575195
"222",0.188447726595612
"223",0.182780248184866
"224",0.17711711521379
"225",0.171458547553211
"226",0.165804765073961
"227",0.160155987646868
"228",0.154512435142763
"229",0.148874327432475
"230",0.143241884386834
"231",0.13761532587667
"232",0.131994871772812
"233",0.126380741946091
"234",0.120773156267336
"235",0.115172334607377
"236",0.109578496837043
"237",0.103991862827165
"238",0.0984126524485725
"239",0.0928410855720946
"240",0.0872773820685614
"241",0.0817217618088027
"242",0.0761744446636483
"243",0.0706356505039279
"244",0.0651055992004713
"245",0.0595845106241083
"246",0.0540726046456686
"247",0.0485701011359821
"248",0.0430772199658783
"249",0.0375941810061873
"250",0.0321212041277387
"251",0.0266585092013622
"252",0.0212063160978877
"253",0.0157648446881449
"254",0.0103343148429636
"255",0.00491494643317351
"256",-0.000493040670395591
