"","row","lum","yfit.lum"
"1",-1358,0,-6.54460828582244
"2",-1203,-0.109,2.08998529195453
"3",-1203,10.218,2.08998529195453
"4",-1203,10.218,2.08998529195453
"5",-1203,-14.68,2.08998529195453
"6",-1203,1.455,2.08998529195453
"7",-1173,-5.552,2.79303734335825
"8",-1133,-5.477,3.22746442812979
"9",-1133,-13.403,3.22746442812979
"10",-1133,8.738,3.22746442812979
"11",-1133,8.738,3.22746442812979
"12",-1133,-6.793,3.22746442812979
"13",-1133,-1.496,3.22746442812979
"14",-1093,-2.277,3.06827487191476
"15",-1083,14.204,2.94381491940306
"16",-1083,14.204,2.94381491940306
"17",-1083,-1.152,2.94381491940306
"18",-1073,4.708,2.79039461480887
"19",-1073,7.848,2.79039461480887
"20",-1073,3.112,2.79039461480887
"21",-1013,11.382,1.1491238355474
"22",-1013,11.943,1.1491238355474
"23",-1013,11.943,1.1491238355474
"24",-1013,-8.784,1.1491238355474
"25",-1013,0.388,1.1491238355474
"26",-943,-3.809,-2.28180962587395
"27",-943,9.156,-2.28180962587395
"28",-943,9.156,-2.28180962587395
"29",-943,-16.531,-2.28180962587395
"30",-943,-3.626,-2.28180962587395
"31",-925,27.493,-3.43663404180776
"32",-893,-14.774,-5.80676732401683
"33",-883,-18.862,-6.61186667559575
"34",-883,-16.247,-6.61186667559575
"35",-873,-22.928,-7.43988572842357
"36",-873,-6.422,-7.43988572842357
"37",-873,-6.422,-7.43988572842357
"38",-873,-9.203,-7.43988572842357
"39",-855,14.067,-9.12718245035786
"40",-833,-29.174,-11.5954593589783
"41",-813,-22.083,-14.1124648918663
"42",-813,-18.601,-14.1124648918663
"43",-813,-14.673,-14.1124648918663
"44",-805,2.441,-15.1666645925073
"45",-795,3.58,-16.5069686827638
"46",-743,-26.709,-23.3680338310571
"47",-743,-22.68,-23.3680338310571
"48",-743,-22.68,-23.3680338310571
"49",-743,-45.732,-23.3680338310571
"50",-743,-16.013,-23.3680338310571
"51",-735,-9.425,-24.4156154589259
"52",-665,-22.038,-36.0796205865834
"53",-653,-58.038,-37.9025425907791
"54",-643,-48.863,-39.2389145749409
"55",-643,-36.006,-39.2389145749409
"56",-643,-36.006,-39.2389145749409
"57",-643,-29.44,-39.2389145749409
"58",-595,-38.325,-45.9704032027492
"59",-593,-55.756,-46.2713344462056
"60",-560,-42.965,-51.2073893869118
"61",-560,-46.169,-51.2073893869118
"62",-553,-58.873,-52.2147515941911
"63",-553,-50.404,-52.2147515941911
"64",-553,-50.404,-52.2147515941911
"65",-553,-57.363,-52.2147515941911
"66",-553,-36.725,-52.2147515941911
"67",-553,-50.421,-52.2147515941911
"68",-535,-53.463,-54.6690458472109
"69",-503,-71.167,-58.2958305439656
"70",-490,-56.421,-59.3978786404482
"71",-490,-52.427,-59.3978786404482
"72",-483,-66.333,-59.9409276722025
"73",-483,-60.719,-59.9409276722025
"74",-483,-60.719,-59.9409276722025
"75",-483,-65.292,-59.9409276722025
"76",-483,-39.753,-59.9409276722025
"77",-465,-58.839,-61.423681676924
"78",-440,-54.649,-63.2793965147982
"79",-430,-57.704,-63.8138999679909
"80",-423,-74.62,-64.0792887882095
"81",-423,-65.997,-64.0792887882095
"82",-423,-65.997,-64.0792887882095
"83",-423,-79.368,-64.0792887882095
"84",-413,-79.846,-64.3816878361553
"85",-370,-56.177,-65.1495231087185
"86",-365,-52.432,-65.1310143064308
"87",-353,-79.352,-64.9494948984114
"88",-343,-73.172,-64.6283088350844
"89",-343,-62.929,-64.6283088350844
"90",-343,-62.929,-64.6283088350844
"91",-343,-72.787,-64.6283088350844
"92",-308,-71.436,-62.3617165070015
"93",-300,-50.221,-61.6283981161686
"94",-300,-51.851,-61.6283981161686
"95",-278,-68.497,-59.2615440504502
"96",-278,-61.696,-59.2615440504502
"97",-278,-61.696,-59.2615440504502
"98",-278,-67.868,-59.2615440504502
"99",-278,-35.406,-59.2615440504502
"100",-278,-72.288,-59.2615440504502
"101",-275,-50.394,-58.9026116994979
"102",-260,-49.437,-56.9934963936083
"103",-260,-43.182,-56.9934963936083
"104",-240,-43.604,-54.1901748106004
"105",-230,-45.501,-52.6977544336879
"106",-223,-69.728,-51.6234973315604
"107",-208,-62.515,-49.0109250438611
"108",-208,-56.578,-49.0109250438611
"109",-208,-56.578,-49.0109250438611
"110",-208,-62.168,-49.0109250438611
"111",-208,-32.833,-49.0109250438611
"112",-205,-50.732,-48.4505107523944
"113",-194,-55.941,-46.4300469113005
"114",-194,-47.729,-46.4300469113005
"115",-194,-47.729,-46.4300469113005
"116",-194,-44.693,-46.4300469113005
"117",-190,-45.192,-45.7013466021231
"118",-190,-38.799,-45.7013466021231
"119",-190,-56.942,-45.7013466021231
"120",-170,-38.086,-41.5014827474189
"121",-150,-27.623,-36.8251250636125
"122",-145,-39.578,-35.6536181084677
"123",-130,-33.212,-32.2869690310583
"124",-124,-46.284,-31.0443685175993
"125",-124,-40.665,-31.0443685175993
"126",-120,-35.308,-30.2311300226414
"127",-120,-25.864,-30.2311300226414
"128",-120,-25.864,-30.2311300226414
"129",-120,-16.555,-30.2311300226414
"130",-100,-21.699,-25.8847076406915
"131",-80,-30.566,-21.2336909830214
"132",-70,-20.884,-18.8631880264505
"133",-70,-10.441,-18.8631880264505
"134",-67,-15.545,-18.1521276196352
"135",-67,-15.545,-18.1521276196352
"136",-67,-6.616,-18.1521276196352
"137",-65,-9.257,-17.6788028307215
"138",-57,-18.447,-15.796027357085
"139",-57,-16.456,-15.796027357085
"140",-57,-7.246,-15.796027357085
"141",-10,-7.065,-5.75479678533611
"142",-4,-18.388,-4.6879505287424
"143",0,0,-3.96986211637593
"144",0,-9.074,-3.96986211637593
"145",0,0,-3.96986211637593
"146",0,0,-3.96986211637593
"147",0,0,-3.96986211637593
"148",0,-1.418,-3.96986211637593
"149",0,0,-3.96986211637593
"150",0,0,-3.96986211637593
"151",0,0,-3.96986211637593
"152",0,0,-3.96986211637593
"153",0,0,-3.96986211637593
"154",60,8.492,5.82886167814268
"155",70,-0.869,7.30827977216871
"156",70,6.716,7.30827977216871
"157",84,17.964,9.26184288213239
"158",90,5.304,10.0514838037587
"159",90,6.308,10.0514838037587
"160",110,13.749,12.44503968336
"161",130,5.496,14.4143810789253
"162",158,31.857,16.5176152621818
"163",160,6.055,16.6438513179165
"164",200,11.293,18.5395231299109
"165",200,19.723,18.5395231299109
"166",211,34.202,18.8615989397984
"167",220,12.888,19.0651216686838
"168",221,33.212,19.0844787594991
"169",230,12.367,19.2300061504144
"170",278,30.761,19.1918514915074
"171",290,20.185,18.9142768266905
"172",290,12.781,18.9142768266905
"173",300,15.772,18.5332740447893
"174",300,18.421,18.5332740447893
"175",350,15.984,15.3081640160308
"176",365,12.778,14.1557353020898
"177",365,12.857,14.1557353020898
"178",390,12.389,12.3458586607205
"179",390,19.566,12.3458586607205
"180",435,8.051,7.776626698135
"181",440,17.352,7.10868466027815
"182",449,-0.353,5.8467953838094
"183",453,-6.685,5.26402726556407
"184",460,6.396,4.21609805217044
"185",519,-12.879,-5.26043348222435
"186",520,2.145,-5.41952634796261
"187",523,-13.579,-5.8943465786645
"188",530,4.313,-6.98572700273107
"189",576,-21.7,-13.1929845194659
"190",586,-25.614,-14.3802433678474
"191",590,-12.727,-14.9019340342179
"192",600,-9.725,-16.3093171250309
"193",635,-13.063,-22.0784372977379
"194",643,-34.166,-23.5063330093208
"195",665,-20.402,-27.4662920707678
"196",665,-18.89,-27.4662920707678
"197",720,-23.707,-36.0998279841978
"198",735,-30.58,-37.7433771637712
"199",749,-41.72,-39.0852576313739
"200",753,-40.753,-39.4709812358936
"201",819,-52.309,-45.5233364172988
"202",823,-55.09,-45.8465894975084
"203",863,-51.377,-48.5750908035245
"204",876,-52.544,-49.2178305804347
"205",886,-56.291,-49.6135538500737
"206",939,-47.494,-49.9763381860855
"207",943,-53.846,-49.8671087150765
