row,xmin,xmax
0,63.19607622,100.4861113
1,62.33016709,101.7897438
2,60.38817021,104.3078479
3,59.22082364,106.1382092
4,58.67847708,106.9031858
5,58.67647631,107.491997
6,59.04599845,107.954293
7,59.27049341,108.5290406
8,59.32775839,108.9941144
9,59.44331782,109.4505246
10,59.59116163,109.9831198
11,59.70095183,110.2910258
12,59.68364416,110.5255246
13,59.59170558,110.8585665
14,59.58803424,111.3109169
15,59.52787494,111.5562938
16,59.51814299,111.7079643
17,59.61557889,111.8634422
18,59.76569545,112.0181042
19,59.90270012,112.1957265
20,59.93249809,112.4160452
21,59.8577895,112.5482325
22,59.89557116,112.7634034
23,59.82799153,112.848582
24,59.65726501,112.7877429
25,59.53803423,112.8089161
26,59.47937065,112.8451244
27,59.48442116,113.1429099
28,59.39030695,113.1500583
29,59.5329643,113.172941
30,59.79450276,113.2485626
31,59.79380347,113.3060994
32,59.60386565,113.4283993
33,59.48275064,113.5710178
34,59.51204357,113.6643162
35,59.52332952,113.7884032
36,59.41148027,113.8125097
37,59.37468928,113.83446
38,59.45314691,113.9479798
39,59.28251756,114.006216
40,58.96857036,113.8802642
41,58.85141804,113.8752136
42,58.95679876,114.0313131
43,58.94527972,114.1288461
44,58.82142581,114.1455711
45,58.77175603,114.1577699
46,58.86822069,114.3219502
47,58.92010488,114.5246892
48,58.78038075,114.5327117
49,58.62121213,114.4951826
50,58.59434731,114.612063
51,58.60860529,114.7012238
52,58.50229213,114.5899573
53,58.57962311,114.5973
54,58.68855864,114.5459014
55,58.55027192,114.3972612
56,58.2685314,114.2598486
57,58.10033015,114.2122767
58,58.08106054,114.2289434
59,58.01099448,114.2054197
60,57.83061373,114.1373544
61,57.82917629,114.2853342
62,57.89920348,114.4864026
63,57.85586624,114.6076924
64,57.54887322,114.3055557
65,57.51651114,114.2894912
66,57.64805736,114.4506023
67,57.73801463,114.5952022
68,57.72705894,114.6117134
69,57.79193851,114.7101789
70,57.89463858,114.8714648
71,57.79986388,114.865987
72,57.55895479,114.7533801
73,57.47626245,114.7291182
74,57.59747459,114.82129
75,57.62898197,114.9436093
76,57.59566807,114.9864609
77,57.67896254,115.0452799
78,57.80549713,115.096426
79,57.7450076,115.1311967
80,57.58943265,115.0766124
81,57.56676367,115.1445611
82,57.69205505,115.4377429
83,57.73426557,115.5889473
84,57.72707834,115.5999807
85,57.81893927,115.7124127
86,58.04285148,115.9038657
87,58.11769609,115.9358781
88,58.06198511,115.8110529
89,58.12886545,115.8112472
90,58.23733474,115.9730382
91,58.15048547,116.0121602
92,57.8879952,115.8929876
93,57.82365954,115.897805
94,57.94978621,116.0971447
95,57.72362067,116.1554585
96,57.29432774,116.0075952
97,57.18426557,115.9620824
98,57.31227645,116.0219309
99,57.36206279,116.017366
100,57.35475898,115.9815851
101,57.45516691,116.1133839
102,57.63475124,116.3644329
103,57.70386542,116.4409092
104,57.65132078,116.3832363
105,57.6684148,116.4939006
106,57.81095559,116.7352565
107,57.85928503,116.8396271
108,57.87022128,116.7220086
109,57.92309618,116.6541764
110,58.00833319,116.8163365
111,57.94256005,117.0343435
112,57.82245515,117.0458625
113,57.88894699,117.045474
114,58.06080013,117.1780692
115,58.13785921,117.2587025
116,58.06322828,117.2881703
117,58.14862067,117.4069348
118,58.24386154,117.5744174
119,58.24436658,117.5735821
120,58.1238732,117.4379566
121,58.10353521,117.4007771
122,58.28793692,117.5126652
123,58.37896257,117.5334889
124,58.34864012,117.4309247
125,58.45454531,117.5362472
126,58.59017079,117.7553809
127,58.56188796,117.7670747
128,58.29992214,117.6031858
129,58.1403456,117.5654236
130,58.09790194,117.6488347
131,58.06808453,117.695241
132,58.05233085,117.675175
133,58.18323607,117.7817989
134,58.36377219,117.9876652
135,58.49088951,118.0310996
136,58.48715992,117.9044291
137,58.53228425,117.9199691
138,58.63028348,118.0630149
139,58.54092839,117.998213
140,58.2946191,117.8075759
141,58.23175976,117.8176769
142,58.25792525,117.9339162
143,58.20427335,117.7580809
144,58.15916845,117.4231547
145,58.21649166,117.4356061
146,58.27527177,117.6791571
147,58.28970457,117.7697942
148,58.23772318,117.6711345
149,58.32435878,117.7205905
150,58.51056706,117.91622
151,58.54520186,117.9722417
152,58.48111871,117.8610334
153,58.47059034,117.84561
154,58.42997262,117.9041764
155,58.23146833,117.8332557
156,58.06967734,117.7225914
157,58.09289027,117.7873932
158,58.24415287,118.0323816
159,58.3397434,118.0985044
160,58.19469682,117.914666
161,58.19322053,117.9409674
