row,max ,min
398,17.7618781,2.533348657
400,17.85610706,2.527661713
402,17.94592508,2.520916044
404,18.02935395,2.513238552
406,18.1107493,2.5034795
408,18.19470535,2.490889288
410,18.27960182,2.47619502
412,18.36381841,2.460123799
414,18.44573484,2.44340273
416,18.52373081,2.426758917
418,18.59618603,2.410919464
420,18.66148021,2.396611475
422,18.7185458,2.383720959
424,18.76993131,2.368063132
426,18.81674754,2.349868191
428,18.85964726,2.330222392
430,18.89928326,2.310211992
432,18.9363083,2.290923248
434,18.97137517,2.273442415
436,19.00513663,2.25885575
438,19.03824546,2.24824951
440,19.06794583,2.241309005
442,19.09180727,2.236659768
444,19.11097064,2.233798386
446,19.12657678,2.232221447
448,19.13976656,2.231425539
450,19.15168081,2.230907249
452,19.1634604,2.230163165
454,19.17624617,2.228689875
456,19.19074873,2.226508132
458,19.2050079,2.226231639
460,19.21840653,2.227809915
462,19.23070001,2.230665213
464,19.2416437,2.234219789
466,19.25099299,2.237895898
468,19.25850324,2.241115796
470,19.26392982,2.243301736
472,19.26702812,2.243875976
474,19.26824922,2.242147924
476,19.26816494,2.238291191
478,19.26671174,2.233024328
480,19.26382608,2.227065886
482,19.25944444,2.221134417
484,19.25350327,2.215948472
486,19.24593903,2.212226604
488,19.2366882,2.210687363
490,19.22500653,2.211717164
492,19.20736614,2.213762256
494,19.18460695,2.216494821
496,19.15831846,2.219888125
498,19.13009016,2.223915435
500,19.10151156,2.228550017
502,19.07417216,2.233765137
504,19.04966146,2.239534063
506,19.02956896,2.24583006
508,19.01427184,2.254587371
510,19.00226049,2.266986447
512,18.99229421,2.281869866
514,18.98313234,2.298080205
516,18.97353417,2.314460042
518,18.96225904,2.329851954
520,18.94806624,2.343098519
522,18.92971509,2.353042315
524,18.90693745,2.359161129
526,18.88449424,2.364493778
528,18.8625426,2.369501904
530,18.84028561,2.374054715
532,18.81692634,2.378021416
534,18.79166788,2.381271216
536,18.7637133,2.383673323
538,18.7322657,2.385096944
540,18.69637538,2.385154389
542,18.65506226,2.382469076
544,18.60925082,2.377408712
546,18.56009977,2.370630744
548,18.50876785,2.362792621
550,18.45641377,2.354551787
552,18.40419627,2.346565692
554,18.35327406,2.339491781
556,18.30480587,2.333987503
558,18.2560766,2.328376057
560,18.20416407,2.320965409
562,18.14991635,2.312390151
564,18.09418152,2.303284875
566,18.03780766,2.294284174
568,17.98164285,2.286022641
570,17.92653517,2.279134869
572,17.87333269,2.27425545
574,17.82261117,2.271416695
576,17.77319854,2.267665355
578,17.72468381,2.263099798
580,17.6768854,2.258423547
582,17.62962176,2.254340125
584,17.58271132,2.251553055
586,17.5359725,2.250765858
588,17.48922374,2.252682057
590,17.44228348,2.258005175
592,17.39367168,2.267986118
594,17.3426389,2.282604478
596,17.29009947,2.300656806
598,17.23696771,2.320939655
600,17.18415795,2.342249576
602,17.1325845,2.36338312
604,17.08316169,2.383136841
606,17.03680385,2.400307289
608,16.99360285,2.415496182
610,16.94952805,2.4377333
612,16.90464483,2.466092725
614,16.85983989,2.497776953
616,16.81599992,2.529988481
618,16.77401162,2.559929805
620,16.73476167,2.584803421
622,16.69913676,2.601811826
624,16.66802359,2.608157516
626,16.64018509,2.609059384
628,16.61392699,2.610649104
630,16.58945016,2.611498346
632,16.56695547,2.610178779
634,16.54664378,2.605262073
636,16.52871596,2.595319898
638,16.51337289,2.578923922
640,16.50081542,2.554645816
642,16.49093807,2.520539871
644,16.48221553,2.473632059
646,16.47482864,2.415959687
648,16.46927702,2.350250618
650,16.46606031,2.279232715
652,16.46567817,2.205633839
654,16.46863023,2.132181854
656,16.47541613,2.061604621
658,16.48653551,1.996630001
660,16.50400413,1.928946824
662,16.52840404,1.850770209
664,16.5580843,1.765617456
666,16.59139395,1.677005866
668,16.62668206,1.588452741
670,16.66229767,1.503475382
672,16.69658985,1.425591088
674,16.72790764,1.358317162
676,16.75946087,1.297493986
678,16.79495029,1.236950123
680,16.83346126,1.177185143
682,16.87407918,1.118698617
684,16.91588944,1.061990114
686,16.95797743,1.007559205
688,16.99942854,0.95590546
690,17.03932815,0.90752845
692,17.07801063,0.863290333
694,17.12168191,0.82519437
696,17.16972242,0.792385799
698,17.22022214,0.76357262
700,17.27127106,0.737462834
702,17.32095916,0.712764442
704,17.36737641,0.688185444
706,17.40861282,0.662433841
708,17.44275834,0.634217634
710,17.47174695,0.603476195
712,17.49876743,0.571534836
714,17.52379205,0.539180469
716,17.54679307,0.507200007
718,17.56774275,0.476380362
720,17.58661334,0.447508445
722,17.6033771,0.421371169
724,17.6180063,0.398755445
726,17.63027888,0.379840367
728,17.63924042,0.361660817
730,17.64528001,0.344127276
732,17.64900764,0.327746364
734,17.6510333,0.313024701
736,17.65196696,0.300468909
738,17.6524186,0.290585608
740,17.65299822,0.28388142
742,17.65431579,0.280862963
744,17.65436007,0.286002132
746,17.65110653,0.301424143
748,17.64514524,0.324115608
750,17.63706623,0.351063137
752,17.62745957,0.379253342
754,17.61691531,0.405672833
756,17.60602351,0.42730822
758,17.59537421,0.441146116
760,17.5854931,0.446238484
762,17.5762751,0.452593813
764,17.56745629,0.46087343
766,17.55880282,0.469743278
768,17.55008081,0.477869305
770,17.5410564,0.483917455
772,17.53149572,0.486553673
774,17.52116491,0.484443904
776,17.5098301,0.476254093
778,17.4978655,0.45838483
780,17.48561356,0.430097655
782,17.47279275,0.394349941
784,17.45912157,0.354099062
786,17.44431849,0.312302391
788,17.42810199,0.2719173
790,17.41019054,0.235901164
792,17.39030264,0.207211354
794,17.36841449,0.186359859
796,17.34580482,0.161400067
798,17.32248523,0.132251941
800,17.29821116,0.101255088
802,17.27273801,0.070749118
804,17.24582121,0.043073638
806,17.21721617,0.020568257
808,17.18667832,0.005572584
810,17.1541609,0
812,17.12066587,0.002242792
814,17.0862986,0.010662204
816,17.05097322,0.023891265
818,17.01460388,0.040563002
820,16.97710472,0.059310446
822,16.93838987,0.078766625
824,16.89837349,0.097564568
826,16.85696971,0.114337303
828,16.81231082,0.132405293
830,16.76325281,0.15519536
832,16.71079537,0.181500076
834,16.65593817,0.210112014
836,16.5996809,0.239823743
838,16.54302323,0.269427836
840,16.48696486,0.297716865
842,16.43250545,0.323483399
844,16.38068231,0.345808973
846,16.33195622,0.365918748
848,16.28541076,0.384680155
850,16.24000693,0.402749313
852,16.19470574,0.42078234
854,16.14846821,0.439435354
856,16.10025533,0.459364473
858,16.04902812,0.481225814
860,15.9937476,0.505675497
862,15.93649231,0.532258842
864,15.87952386,0.559980607
866,15.82207784,0.588686065
868,15.76338984,0.618220489
870,15.70269542,0.648429151
872,15.63923019,0.679157325
874,15.57222971,0.710250282
876,15.50092958,0.741553296
878,15.42406171,0.772768424
880,15.33893548,0.803148812
882,15.24708323,0.833079275
884,15.15066269,0.863117529
886,15.05183163,0.893821289
888,14.95274779,0.925748271
890,14.85556892,0.95945619
892,14.76245278,0.995502763
894,14.67555713,1.034445705
896,14.58945639,1.075983026
898,14.49845724,1.119319493
